step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,65,1,1.9275955366098787,0.0,0.5185185185185185
2,178,2,1.7135224217537077,0.0,0.6565656565656566
3,211,3,1.3599080001655965,0.0,0.5
4,316,4,2.406416529282444,0.0,0.42857142857142855
5,877,5,2.0957165484865583,0.0,0.4934579439252336
6,1134,6,2.6870826645844064,0.0,0.4448979591836735
7,1447,7,2.6652992739755055,0.0,0.41946308724832215
8,1536,8,2.595325084627627,0.0,0.35064935064935066
9,1673,9,2.166729015797404,0.0,0.532258064516129
10,1994,10,2.3371528297928528,0.0,0.4554794520547945
11,2235,11,2.0756663591308366,0.0,0.5155555555555555
12,2292,12,1.539924966503999,0.0,0.37142857142857144
13,2821,13,2.2717204975149023,0.0,0.48349514563106794
14,3310,14,2.3893505708403486,0.0,0.45147679324894513
15,4351,15,2.4665228795799767,0.0,0.4524975514201763
16,4408,16,2.141471065555566,0.0,0.43478260869565216
17,4657,17,1.9418204926101221,0.0,0.5108225108225108
18,4922,18,2.0529233099307485,0.0,0.4791666666666667
19,5371,19,2.4377656976349784,0.0,0.45662100456621
20,5420,20,2.0722205800012063,0.0,0.34210526315789475
21,5677,21,2.2262908306981024,0.0,0.45867768595041325
22,5918,22,2.195791311754104,0.0,0.4260869565217391
23,6119,23,2.0882717299483806,0.0,0.46195652173913043
24,6296,24,1.822812443012451,0.0,0.5094339622641509
25,6561,25,2.257520870151493,0.0,0.4979757085020243
26,6618,26,1.632083580193243,0.0,0.4888888888888889
27,7171,27,2.213318802790522,0.0,0.49353049907578556
28,7660,28,2.4798650808808427,0.0,0.42283298097251587
29,8293,29,2.575336590321435,0.0,0.45718901453957994
30,8622,30,2.1853064810869385,0.0,0.4937106918238994
31,9031,31,2.764421366755822,0.0,0.3949367088607595
32,9544,32,2.693013728382648,0.0,0.376
33,9609,33,1.30471340017044,0.0,0.4883720930232558
34,9850,34,2.186776170525865,0.0,0.4744186046511628
35,10235,35,2.44644078807121,0.0,0.42318059299191374
36,10508,36,2.2033439013182945,0.0,0.4899598393574297
37,11013,37,2.1149234091402387,0.0,0.5152129817444219
38,11086,38,2.229941636929806,0.0,0.4482758620689655
39,11303,39,1.8113887122213619,0.0,0.5658536585365853
40,11720,40,2.340628538816544,0.0,0.46115288220551376
41,11785,41,1.8581513391659246,0.0,0.47058823529411764
42,11818,42,2.227106596515514,0.0,0.46153846153846156
43,11891,43,1.6360899113531922,0.0,0.45614035087719296
44,12772,44,2.3562447174323244,0.0,0.4936998854524628
45,14093,45,2.278618917776392,0.0,0.49159021406727826
46,14126,46,0.750462327490095,0.0,0.6666666666666666
47,14839,47,2.6265352145092247,0.0,0.43804034582132567
48,15528,48,2.2678802599601493,0.0,0.46676737160120846
49,15649,49,2.3060495519036195,0.0,0.4056603773584906
50,15738,50,1.7000129238236168,0.0,0.5571428571428572
51,15835,51,2.5566223158578696,0.0,0.3373493975903614
52,16036,52,2.412240130683134,0.0,0.4419889502762431
53,16261,53,2.1277745970377246,0.0,0.47641509433962265
54,16598,54,2.3025052813083655,0.0,0.5216049382716049
55,16863,55,2.2362253208695617,0.0,0.47346938775510206
56,17400,56,2.0246913381218956,0.0,0.5332068311195446
57,18057,57,2.4376328161974836,0.0,0.45794392523364486
58,18114,58,2.232216581877853,0.0,0.4146341463414634
59,18155,59,2.3660364445745947,0.0,0.39285714285714285
60,18700,60,2.3541204942884746,0.0,0.4923954372623574
61,19269,61,2.47395050650094,0.0,0.4430379746835443
62,19878,62,2.3494240329461284,0.0,0.4332129963898917
63,21663,63,2.3743749870203565,0.0,0.46681792399319344
64,22408,64,2.6714978610871247,0.0,0.4532967032967033
65,22505,65,2.12406699240797,0.0,0.49411764705882355
66,22554,66,1.7217676417160934,0.0,0.5161290322580645
67,22595,67,1.8388875124305486,0.0,0.36
68,22860,68,2.402279420555393,0.0,0.4331983805668016
69,22917,69,1.547791936979629,0.0,0.475
70,23262,70,2.2649798051222616,0.0,0.47761194029850745
71,23431,71,1.7919992511782659,0.0,0.4825174825174825
72,23648,72,2.3146091156410424,0.0,0.4876847290640394
73,23817,73,2.172365614624633,0.0,0.4551282051282051
74,24810,74,2.4395322908568295,0.0,0.491317671092952
75,25003,75,2.260211748790437,0.0,0.44751381215469616
76,25356,76,2.1116582401512147,0.0,0.4836795252225519
77,25581,77,2.2276613873695688,0.0,0.42857142857142855
78,26182,78,2.401319478485052,0.0,0.4691780821917808
79,26615,79,2.447595105726596,0.0,0.4215686274509804
80,26784,80,1.8273591466872936,0.0,0.5
81,27345,81,2.2412159550685713,0.0,0.48592870544090055
82,28018,82,2.347449279949831,0.0,0.450920245398773
83,28867,83,2.4570233926530114,0.0,0.4608904933814681
84,29348,84,2.606670873562587,0.0,0.45278969957081544
85,29493,85,3.016364648752432,0.0,0.38636363636363635
86,29838,86,2.3270917716635857,0.0,0.4827586206896552
87,30143,87,2.352408200795429,0.0,0.5190311418685121
88,30712,88,2.165049299445855,0.0,0.5181159420289855
89,30801,89,1.5523368847285481,0.0,0.4647887323943662
90,31042,90,2.1893617585427942,0.0,0.47413793103448276
91,31667,91,2.591601972368815,0.0,0.46568627450980393
92,32116,92,2.189667054426536,0.0,0.48735632183908045
93,32317,93,2.0087620060955174,0.0,0.521978021978022
94,32670,94,2.3806041592317144,0.0,0.4633431085043988
95,32935,95,2.265815114000019,0.0,0.4959677419354839
96,33008,96,1.8135826463102256,0.0,0.48333333333333334
97,33241,97,2.1110628605043105,0.0,0.5135135135135135
98,33586,98,2.280015555414003,0.0,0.4817073170731707
99,33971,99,2.233117214268674,0.0,0.4609164420485175
100,34484,100,2.5081379052752344,0.0,0.41
101,34557,101,1.8779159049480867,0.0,0.46551724137931033
102,34614,102,0.9292736857098394,0.0,0.6571428571428571
103,34863,103,1.6884819346260431,0.0,0.5454545454545454
104,35608,104,2.5303723558217435,0.0,0.47527472527472525
105,35721,105,1.5051784270397708,0.0,0.6868686868686869
106,36570,106,2.2886825782647064,0.0,0.4969915764139591
107,37139,107,2.007616261526212,0.0,0.5398550724637681
108,37492,108,2.137536457064224,0.0,0.5073313782991202
109,37661,109,1.8083005188859809,0.0,0.5064102564102564
110,38374,110,2.4658012945138688,0.0,0.4755043227665706
111,38511,111,1.6947649745237054,0.0,0.6290322580645161
112,38560,112,1.1579904741465967,0.0,0.5483870967741935
113,38825,113,1.9652346394942797,0.0,0.5282258064516129
114,38898,114,1.2809892700815786,0.0,0.5789473684210527
115,39099,115,1.787868697990387,0.0,0.5054347826086957
116,39588,116,2.2053022849678228,0.0,0.47568710359408034
117,39933,117,2.182325919878927,0.0,0.4925373134328358
118,40206,118,1.9469471348076481,0.0,0.5180722891566265
119,40263,119,1.6934897180207606,0.0,0.6521739130434783
120,40464,120,1.9916810894724217,0.0,0.5082872928176796
121,40809,121,1.9861474848525031,0.0,0.5060975609756098
122,40898,122,2.153690466789783,0.0,0.42857142857142855
123,41307,123,2.4793317295428174,0.0,0.43291139240506327
124,41340,124,0.36892493009392635,0.0,0.9047619047619048
125,41565,125,1.963685797713863,0.0,0.4975369458128079
126,41758,126,2.015610177990241,0.0,0.4861878453038674
127,42015,127,1.7304689991233135,0.0,0.5413223140495868
128,42080,128,1.4857398687630485,0.0,0.5555555555555556
129,42185,129,2.0465970196170162,0.0,0.4945054945054945
130,42530,130,2.061368068738591,0.0,0.5141065830721003
131,42675,131,2.7774374844353105,0.0,0.38636363636363635
132,42916,132,1.7649124282274182,0.0,0.5822222222222222
133,43133,133,1.8791339597544907,0.0,0.5221674876847291
134,43190,134,1.1888031708316078,0.0,0.6
135,43799,135,2.1800300808437654,0.0,0.4566787003610108
136,43888,136,1.3036719048921475,0.0,0.6
137,44129,137,1.8621191171735287,0.0,0.5387931034482759
138,44298,138,1.4856457508290104,0.0,0.5974025974025974
139,44747,139,2.300946882874959,0.0,0.4634703196347032
140,45076,140,1.9478479400446649,0.0,0.5534591194968553
141,45581,141,1.9165004049079852,0.0,0.537525354969574
142,46142,142,1.9207672354289789,0.0,0.5046728971962616
